tags	Tag1	Tag2	Tag3	Tag4	Tag5	duedate	starttime	duration	alertprior	priority	status	assignedto	sequence	title	description	outcome	webpage	recursunit	recursevery	recursdayofweek	recurswithinmonth	duedateymd	type	length	lastmod	lastmoddateymd	linkedtags
Minor Enhancement	Minor Enhancement					07/17/2005	00:00 AM	N/A	N/A	4	9		3.2	Notify User when Memory is Low		The program now generates log messages when it is low on memory.		N/A	0	-1	-1	2005-07-17	Action	0	 	 	<a href='tags/minor-enhancement.html' rel='tag'>Minor Enhancement</a>
New Feature	New Feature					07/19/2005	00:00 AM	N/A	N/A	2	9		3.2	Add INCLUDE Command		Added an INCLUDE Command to Template processing. This command allows you to include text from another file into the output stream being generated by the template. The included text is not processed in any way, but is simply copied to the output file(s) being generated. This does allow output from a previous step in a script to be included in the output generated by a later step. If an include file is not found, then it will simply be skipped and processing will continue, with a log message to note the event.		N/A	0	-1	-1	2005-07-19	Action	0	 	 	<a href='tags/new-feature.html' rel='tag'>New Feature</a>
New Feature	New Feature					08/14/2005	00:00 AM	N/A	N/A	2	9		3.2	Add Ability to Output Formatted HTML Table Cells		Added a new Data Source of &quot;Excel Table&quot;, which generates only one column for each row in the table, called &quot;Table Row&quot;. This column contains complete formatted HTML for every column in the row, including comparable text formatting, hyperlinks, and cell dimensions.		N/A	0	-1	-1	2005-08-14	Action	0	 	 	<a href='tags/new-feature.html' rel='tag'>New Feature</a>
Minor Enhancement	Minor Enhancement					08/14/2005	00:00 AM	N/A	N/A	4	9		3.2	Add Informational Messages to Log at Startup		Added some additional informational messages to the log at startup. Now displaying amount of available memory and information about the Java Virtual Machine on which the application is running.		N/A	0	-1	-1	2005-08-14	Action	0	 	 	<a href='tags/minor-enhancement.html' rel='tag'>Minor Enhancement</a>
New Feature	New Feature					08/14/2005	00:00 AM	N/A	N/A	2	9		3.2	Add Ability to Detect Start and End of Lists		Added IFNEWLIST and IFENDLIST commands, that indicate the beginning and ending of a list of records, all having the same group identifier at the specified level. So whereas IFNEWGROUP indicates a new value in the group identifier field for a particular level, IFNEWLIST indicates the start of a new sequence of values. In general, IFNEWLIST and IFENDLIST can be used to insert begin list and end list tags when generating HTML.		N/A	0	-1	-1	2005-08-14	Action	0	 	 	<a href='tags/new-feature.html' rel='tag'>New Feature</a>
Minor Enhancement	Minor Enhancement					07/27/2005	00:00 AM	N/A	N/A	3	9		3.2	Simplified Syntax for Links in Outline Format		When processing a Data Source in PSPub Outline format, hyperlinks can now be added simply by specifying a URL (beginning with the usual http: prefix) on a line by itself following the line to be hyperlinked. An outline heading may now have such a hyperlink applied, as well.		N/A	0	-1	-1	2005-07-27	Action	0	 	 	<a href='tags/minor-enhancement.html' rel='tag'>Minor Enhancement</a>
Bug Fix	Bug Fix					07/28/2005	00:00 AM	N/A	N/A	4	9		3.2	Corrected a Bug in Play Recent Script Menu Item		Corrected a bug that prevented the length of the Play Recent Script menu item from ever showing more than four items. The list should now show up to 10 items, as previously intended.		N/A	0	-1	-1	2005-07-28	Action	0	 	 	<a href='tags/bug-fix.html' rel='tag'>Bug Fix</a>
New Feature	New Feature					 	00:00 AM	N/A	N/A	3	0			Add a Function to Generate a Site Map		Added new function to generate a site map.		N/A	0	-1	-1	 	Action	0	 	 	<a href='tags/new-feature.html' rel='tag'>New Feature</a>
Minor Enhancement	Minor Enhancement					11/20/2005	00:00 AM	N/A	N/A	3	9		3.3	Output Directories Now Created		Previously, all parent output directories had to be created before PSTextMerge would create an output file from a template. All necessary parent directories will now be created automatically, assuming sufficient permissions.		N/A	0	-1	-1	2005-11-20	Action	0	 	 	<a href='tags/minor-enhancement.html' rel='tag'>Minor Enhancement</a>
Minor Enhancement	Minor Enhancement					11/27/2005	00:00 AM	N/A	N/A	3	9		3.3	Made Directory Last Mod Date Compliant with ISO 8601		Modified Last Mod Date format, generated when reading a file directory, to use hyphens instead of slashes between the month, day and year fields, to be compliant with ISO 8601. This also allows this date to be used when generating Google Sitemaps.		N/A	0	-1	-1	2005-11-27	Action	0	 	 	<a href='tags/minor-enhancement.html' rel='tag'>Minor Enhancement</a>
Minor Enhancement	Minor Enhancement					11/27/2005	00:00 AM	N/A	N/A	3	9		3.3	Several New Text Logical Operands Added		Added several new logical operands to check if a string is not included, if one string starts with another or does not, and if a string ends with another or does not.		N/A	0	-1	-1	2005-11-27	Action	0	 	 	<a href='tags/minor-enhancement.html' rel='tag'>Minor Enhancement</a>
Minor Enhancement	Minor Enhancement					05/01/2007	00:00 AM	N/A	N/A	3	9		3.4	Added Ability to Truncate a Field on the Left rather than the Right		The variable modifier of &quot;R&quot; may now be used, in combination with a length modifier, to keep characters on the right (truncating on the left), rather than the default behavior of keeping characters on the left.		N/A	0	-1	-1	2007-05-01	Action	0	 	 	<a href='tags/minor-enhancement.html' rel='tag'>Minor Enhancement</a>
Minor Enhancement	Minor Enhancement					05/18/2007	00:00 AM	N/A	N/A	3	9		3.4	Converted from Shareware to Freeware		PSTextMerge is now completely free.		N/A	0	-1	-1	2007-05-18	Action	0	 	 	<a href='tags/minor-enhancement.html' rel='tag'>Minor Enhancement</a>
Bug Fix	Bug Fix					12/09/2007	00:00 AM	N/A	N/A	3	9		3.5	Corrected a Bookmarks Lists Problem		Corrected a bug that occurred when reading a bookmarks file using lists to indicate categories. When the list depth was reduced, previous list items at the greater depth were being mistakenly retained for current bookmarks. This has now been fixed.		N/A	0	-1	-1	2007-12-09	Action	0	 	 	<a href='tags/bug-fix.html' rel='tag'>Bug Fix</a>
New Feature	New Feature					05/17/2010	00:00 AM	N/A	N/A	3	9		4.00	Added Ability to Read iTunes Library XML File		Added a new Input Format for iTunes Library XML Files, which allows summary information about albums to be extracted.		N/A	0	-1	-1	2010-05-17	Action	0	 	 	<a href='tags/new-feature.html' rel='tag'>New Feature</a>
New Feature	New Feature					05/22/2011	00:00 AM	N/A	N/A	3	0			Added Ability to Read YAML Subset		PSTextMerge now supports a subset of the YAML data format.		N/A	0	-1	-1	2011-05-22	Action	0	 	 	<a href='tags/new-feature.html' rel='tag'>New Feature</a>
New Feature	New Feature					07/26/2012	00:00 AM	N/A	N/A	3	9		4.00	Added Autoplay Feature		Added Autoplay button on the Script tab that allows the user to select a script to be automatically played each time the program launches.		N/A	0	-1	-1	2012-07-26	Action	0	 	 	<a href='tags/new-feature.html' rel='tag'>New Feature</a>
New Feature	New Feature					07/26/2012	00:00 AM	N/A	N/A	3	9		4.00	Added Easy Play Feature		Added an Easy Play button to the Script tab to allow the user to select a folder containing multiple script files. After selecting such a folder, a new Easy tab will be added to the far left of the main window, with a button for each script in the folder. The user then need only click on the button to play the indicated script.		N/A	0	-1	-1	2012-07-26	Action	0	 	 	<a href='tags/new-feature.html' rel='tag'>New Feature</a>
New Feature	New Feature					07/27/2012	00:00 AM	N/A	N/A	3	9		4.00	Added Club Planner Input Format		Added Club Planner and Club Notes input formats. This is a new input format designed for planning events to be held by a club.		N/A	0	-1	-1	2012-07-27	Action	0	 	 	<a href='tags/new-feature.html' rel='tag'>New Feature</a>
Minor Enhancement	Minor Enhancement					11/04/2012	00:00 AM	N/A	N/A	3	9		4.10	Refined Template Variable Names		The variable  'templatefilename' now only returns the file name without the enclosing folder, and the new variable 'templateparent' now returns the enclosing folder. These are now consistent with the operation of 'datafilename' and 'dataparent'.		N/A	0	-1	-1	2012-11-04	Action	0	 	 	<a href='tags/minor-enhancement.html' rel='tag'>Minor Enhancement</a>
New Feature	New Feature					11/19/2012	00:00 AM	N/A	N/A	3	9		4.10	Added Else Command		Added an else command, which can be used following an if to invoke the opposite condition.		N/A	0	-1	-1	2012-11-19	Action	0	 	 	<a href='tags/new-feature.html' rel='tag'>New Feature</a>
Refactor	Refactor					02/28/2013	00:00 AM	N/A	N/A	3	9		4.10	Refactored code for greater reuse		Refactored code to allow chunks of PSTextMerge to be used by other apps as well.		N/A	0	-1	-1	2013-02-28	Action	0	 	 	<a href='tags/refactor.html' rel='tag'>Refactor</a>
Minor Enhancement	Minor Enhancement					05/19/2013	00:00 AM	N/A	N/A	3	9		4.20	Merge without Data		Template generation can now be performed without any input data, so long as there is not a nextrec command in the template. The purpose of this would be to include output files from other operations into a single output file.		N/A	0	-1	-1	2013-05-19	Action	0	 	 	<a href='tags/minor-enhancement.html' rel='tag'>Minor Enhancement</a>
Bug Fix	Bug Fix					05/25/2013	00:00 AM	N/A	N/A	3	9		4.20	Fixed Merge Bug		Merge options on the Input tab were being ignored, resulting in the merged data replacing the prior data, instead of being added to it. This has now been corrected.		N/A	0	-1	-1	2013-05-25	Action	0	 	 	<a href='tags/bug-fix.html' rel='tag'>Bug Fix</a>
Minor Enhancement	Minor Enhancement					06/09/2013	00:00 AM	N/A	N/A	3	9		4.20	Back slash at end of line will result in two spaces at line end		The software normally drops trailing spaces at the end of a line, but a line ending with a space and a backslash will now result in two spaces appearing at the end of the output line, which will result in a line break being generated if converting Markdown to HTML.		N/A	0	-1	-1	2013-06-09	Action	0	 	 	<a href='tags/minor-enhancement.html' rel='tag'>Minor Enhancement</a>
